key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trail_nums,img1,img2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.2521,space,0.477,space,0.7974,p,3.944,0,0,0,0,1,0,images/pixabay_cat_000858.jpg,images/pixabay_cat_001134.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,1.2595,0,1,1,1,1,1,images/pixabay_cat_000859.jpg,images/pixabay_cat_001135.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.8185,0,2,2,2,1,2,images/pixabay_cat_000860.jpg,images/pixabay_cat_001136.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.7609,0,3,3,3,1,3,images/pixabay_cat_000862.jpg,images/pixabay_cat_001137.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.7953,0,4,4,4,1,4,images/pixabay_cat_000863.jpg,images/pixabay_cat_001138.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.7475,0,5,5,5,1,5,images/pixabay_cat_000864.jpg,images/pixabay_cat_001139.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.75,0,6,6,6,1,6,images/pixabay_cat_000865.jpg,images/pixabay_cat_001140.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.7841,0,7,7,7,1,7,images/pixabay_cat_000866.jpg,images/pixabay_cat_001141.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.8837,0,8,8,8,1,8,images/pixabay_cat_000868.jpg,images/pixabay_cat_001142.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,1.5388,0,9,9,9,1,9,images/pixabay_cat_000869.jpg,images/pixabay_cat_001145.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,q,0.7741,0,10,10,10,1,10,images/pixabay_cat_000870.jpg,images/pixabay_cat_001146.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.9836,0,11,11,11,1,11,images/pixabay_cat_000871.jpg,images/pixabay_cat_001147.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.9209,0,12,12,12,1,12,images/pixabay_cat_000872.jpg,images/pixabay_cat_001148.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,p,0.7242,0,13,13,13,1,13,images/pixabay_cat_000873.jpg,images/pixabay_cat_001149.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,q,0.7335,0,14,14,14,1,14,images/pixabay_cat_000874.jpg,images/pixabay_cat_001150.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,q,0.877,0,15,15,15,1,15,images/pixabay_cat_000875.jpg,images/pixabay_cat_001151.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
,,,,,,q,0.9266,0,16,16,16,1,16,images/pixabay_cat_000877.jpg,images/pixabay_cat_001152.jpg,Jesse,001,2021-07-19_15h38.48.912,Cat face experiment_750-999,2021.1.4,Win32,60.10699044
